Показатель	Страна	Год	Краткий обзор стран
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Азербайджан	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Азербайджан	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1995	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1996	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1997	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1998	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	1999	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2000	3874
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2001	4300
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2002	4661
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2003	5000
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2004	5428
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2005	5865
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2006	6567
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2007	7283
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2008	8228
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2009	8813
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2010	9628
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2011	10203
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2012	10521
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2013	10574
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2014	11261
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2015	11659
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2016	12083
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2017	12773
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2018	13496
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2019	13973
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2020	13760
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2021	15709
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Албания	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1995	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1996	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1997	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1998	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	1999	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2000	25320
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2001	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2002	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2003	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2004	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2005	35154
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2006	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2007	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2008	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2009	41643
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2010	43359
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2011	44413
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2012	42139
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2013	42343
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2014	43213
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2015	43073
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2016	44415
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2017	44561
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2018	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2019	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2020	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2021	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Андорра	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1990	2750
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1991	2494
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1992	1515
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1993	1475
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1994	1618
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1995	1796
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1996	1940
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1997	2042
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1998	2221
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	1999	2330
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2000	2530
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2001	2844
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2002	3282
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2003	3836
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2004	4377
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2005	5172
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2006	6072
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2007	7136
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2008	7825
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2009	6812
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2010	7094
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2011	7624
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2012	8931
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2013	9431
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2014	9699
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2015	9707
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2016	10503
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2017	11974
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2018	12943
