Показатель	Страна	Год	Краткий обзор стран
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2004	16269
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2005	17108
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2006	18384
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2007	19094
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2008	20721
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2009	20723
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2010	21743
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2011	23029
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2012	23267
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2013	24548
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2014	25692
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2015	26799
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2016	27942
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2017	29496
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2018	31909
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2019	33616
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2020	33377
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2021	36714
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Венгрия	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1991	20995
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1992	21743
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1993	21920
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1994	22866
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1995	23659
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1996	24204
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1997	24731
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1998	25532
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	1999	26510
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2000	27451
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2001	28658
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2002	29504
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2003	30269
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2004	31742
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2005	32237
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2006	34667
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2007	36859
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2008	38432
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2009	37465
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2010	39677
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2011	42541
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2012	43359
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2013	44994
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2014	47011
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2015	47610
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2016	50579
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2017	53072
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2018	55196
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2019	55665
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2020	55434
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2021	58640
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Германия	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1995	15424
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1996	16145
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1997	17156
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1998	18034
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	1999	18465
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2000	19516
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2001	20955
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2002	22616
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2003	23897
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2004	25461
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2005	25577
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2006	28549
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2007	29320
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2008	30856
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2009	30359
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2010	27913
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2011	25672
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2012	24911
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2013	25986
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2014	26625
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2015	26760
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2016	27512
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2017	28605
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2018	29617
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2019	30372
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2020	27901
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2021	31138
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Греция	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1995	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1996	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1997	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1998	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	1999	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2000	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2001	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2002	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2003	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2004	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2005	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2006	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2007	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2008	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2009	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2010	7565
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2011	8360
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2012	9826
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2013	10612
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2014	11576
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2015	12089
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2016	12859
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2017	13590
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2018	14594
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2019	15622
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2020	14731
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2021	17014
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Грузия	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1990	18237
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1991	19065
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1992	19816
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1993	20217
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1994	21679
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1995	22699
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1996	23740
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1997	24928
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1998	25820
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	1999	26658
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2000	28667
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2001	29447
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2002	30640
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2003	30824
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2004	32948
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2005	34153
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2006	37336
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2007	39016
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2008	41283
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2009	40332
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2010	43008
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2011	44408
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2012	44809
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2013	46743
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2014	47906
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2015	49058
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2016	51967
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2017	55356
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2018	57479
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2019	58496
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2020	60021
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2021	66080
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Дания	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1995	20601
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1996	21624
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1997	22222
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1998	22841
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	1999	23319
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2000	25625
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2001	25673
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2002	26045
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2003	24644
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2004	26058
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2005	25625
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2006	26455
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2007	28264
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2008	27995
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2009	27992
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2010	29296
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2011	31162
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2012	32323
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2013	34740
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2014	34741
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2015	35864
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2016	38208
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2017	39448
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2018	40232
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2019	40460
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2020	40087
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2021	44316
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Израиль	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1995	18974
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1996	20540
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1997	22697
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1998	25083
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	1999	27041
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2000	30213
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2001	32588
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2002	35223
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2003	36279
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2004	38761
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2005	40465
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2006	44272
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2007	46760
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2008	44105
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2009	41437
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2010	43214
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2011	45132
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2012	46305
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2013	47836
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2014	51297
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2015	69305
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2016	71506
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2017	78252
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2018	85035
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2019	87465
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2020	94047
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2021	109832
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Ирландия	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1995	23948
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1996	24770
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1997	26896
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1998	28747
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	1999	29577
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2000	29780
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2001	31861
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2002	32598
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2003	32724
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2004	35552
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2005	37428
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2006	39633
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2007	41486
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2008	43456
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2009	41772
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2010	39780
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2011	40939
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2012	42007
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2013	44405
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2014	45995
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2015	49203
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2016	53487
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2017	55638
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2018	57201
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2019	57871
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2020	53235
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2021	57925
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Исландия	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1995	16281
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1996	16978
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1997	17916
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1998	19101
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	1999	19963
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2000	21591
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2001	22997
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2002	24376
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2003	25041
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2004	26182
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2005	27601
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2006	30746
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2007	32463
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2008	33242
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2009	32089
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2010	31693
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2011	31872
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2012	31725
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2013	32463
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2014	33559
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2015	34945
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2016	37333
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2017	39601
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2018	40777
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2019	41759
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2020	37664
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2021	41354
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Испания	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1995	22383
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1996	23053
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1997	23876
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1998	25021
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	1999	25602
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2000	27072
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2001	28031
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2002	28721
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2003	29153
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2004	29482
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2005	30028
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2006	32311
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2007	33957
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2008	35293
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2009	34336
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2010	34840
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2011	36203
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2012	36091
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2013	36268
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Италия	2014	36476
