Показатель	Страна	Год	Краткий обзор стран
Общая численность населения	Швейцария	2015	8282396
Общая численность населения	Швейцария	2016	8373338
Общая численность населения	Швейцария	2017	8451840
Общая численность населения	Швейцария	2018	8514328
Общая численность населения	Швейцария	2019	8575280
Общая численность населения	Швейцария	2020	8638166
Общая численность населения	Швейцария	2021	8704546
Общая численность населения	Швейцария	2022	..
Общая численность населения	Швейцария	2023	..
Общая численность населения	Швеция	1990	8558681
Общая численность населения	Швеция	1991	..
Общая численность населения	Швеция	1992	..
Общая численность населения	Швеция	1993	..
Общая численность населения	Швеция	1994	..
Общая численность населения	Швеция	1995	8826803
Общая численность населения	Швеция	1996	..
Общая численность населения	Швеция	1997	..
Общая численность населения	Швеция	1998	..
Общая численность населения	Швеция	1999	..
Общая численность населения	Швеция	2000	8872109
Общая численность населения	Швеция	2001	8895960
Общая численность населения	Швеция	2002	8924958
Общая численность населения	Швеция	2003	8958229
Общая численность населения	Швеция	2004	8993531
Общая численность населения	Швеция	2005	9029572
Общая численность населения	Швеция	2006	9080504
Общая численность населения	Швеция	2007	9148092
Общая численность населения	Швеция	2008	9219637
Общая численность населения	Швеция	2009	9298514
Общая численность населения	Швеция	2010	9378126
Общая численность населения	Швеция	2011	9449212
Общая численность населения	Швеция	2012	9519374
Общая численность населения	Швеция	2013	9600378
Общая численность населения	Швеция	2014	9696110
Общая численность населения	Швеция	2015	9799186
Общая численность населения	Швеция	2016	9923085
Общая численность населения	Швеция	2017	10057698
Общая численность населения	Швеция	2018	10175214
Общая численность населения	Швеция	2019	10278887
Общая численность населения	Швеция	2020	10353442
Общая численность населения	Швеция	2021	10415810
Общая численность населения	Швеция	2022	..
Общая численность населения	Швеция	2023	..
Общая численность населения	Эстония	1990	1569174
Общая численность населения	Эстония	1991	..
Общая численность населения	Эстония	1992	..
Общая численность населения	Эстония	1993	..
Общая численность населения	Эстония	1994	..
Общая численность населения	Эстония	1995	1436634
Общая численность населения	Эстония	1996	..
Общая численность населения	Эстония	1997	..
Общая численность населения	Эстония	1998	..
Общая численность населения	Эстония	1999	..
Общая численность населения	Эстония	2000	1396985
Общая численность населения	Эстония	2001	1388115
Общая численность населения	Эстония	2002	1379350
Общая численность населения	Эстония	2003	1370720
Общая численность населения	Эстония	2004	1362550
Общая численность населения	Эстония	2005	1354775
Общая численность населения	Эстония	2006	1346810
Общая численность населения	Эстония	2007	1340680
Общая численность населения	Эстония	2008	1337090
Общая численность населения	Эстония	2009	1334515
Общая численность населения	Эстония	2010	1331475
Общая численность населения	Эстония	2011	1327438
Общая численность населения	Эстония	2012	1322696
Общая численность населения	Эстония	2013	1317996
Общая численность населения	Эстония	2014	1315344
Общая численность населения	Эстония	2015	1315407
Общая численность населения	Эстония	2016	1315790
Общая численность населения	Эстония	2017	1317384
Общая численность населения	Эстония	2018	1321976
Общая численность населения	Эстония	2019	1326898
Общая численность населения	Эстония	2020	1329522
Общая численность населения	Эстония	2021	1330932
Общая численность населения	Эстония	2022	..
Общая численность населения	Эстония	2023	..
